Price,Close,High,Low,Open,Volume
Ticker,CI,CI,CI,CI,CI
Date,,,,,
1988-12-01,2.7820756435394287,2.90752710390919,2.7009008264075693,2.8189733107225825,27097200
1989-01-01,3.124319076538086,3.1318114194319002,2.7497001312362497,2.8246240746347135,27765900
1989-02-01,3.1842575073242188,3.3041352294118846,3.0568871864528404,3.109333577328019,19825200
1989-03-01,3.1917519569396973,3.259183332688701,3.116828234688614,3.1992443034417772,36151200
1989-04-01,3.274078607559204,3.410815067917574,3.236096402350824,3.266481905713427,19606500
1989-05-01,3.3424489498138428,3.3728349939854247,3.144940575513488,3.274080676433115,23476500
1989-06-01,3.395622730255127,3.5247627801955987,3.3348509267064244,3.3348509267064244,26942400
1989-07-01,3.640923023223877,3.6871084475124385,3.402300269069053,3.448485164811412,22308300
1989-08-01,3.8333606719970703,3.933427933734355,3.5947376830697313,3.6409225731023245,37000800
1989-09-01,3.848757028579712,3.887244717788441,3.7102017702653782,3.817967088631274,22414500
1989-10-01,3.980272054672241,4.09711014888436,3.76996412689929,3.886802221111408,30786300
1989-11-01,4.011434555053711,4.159429190571632,3.9413318188915007,3.9724882042447827,21186000
1989-12-01,3.707653760910034,4.050377817683226,3.6141833204986495,4.019221449913707,23723100
1990-01-01,3.1131508350372314,3.8224763349042914,3.0658626487702305,3.735780785575714,41852700
1990-02-01,3.2077291011810303,3.223491836582556,2.8530662017151207,3.1210335153000046,42697800
1990-03-01,3.1919665336608887,3.3023059672147714,3.105270935870835,3.184085164877494,24925500
1990-04-01,2.9432668685913086,3.3111751928414965,2.9032769825803117,3.223196894437697,28591200
1990-05-01,3.3271727561950684,3.3431687170146316,2.9112761273469454,2.935269793986377,27956700
1990-06-01,3.207199811935425,3.551114358200593,3.199202112136133,3.3591618745058063,26221500
1990-07-01,3.0491936206817627,3.2762614943425614,3.0248653176746507,3.243823385773637,21636000
1990-08-01,2.7410311698913574,3.081633066655712,2.6842641870972983,3.0573042006470286,44241300
1990-09-01,2.449087142944336,2.7896890588729466,2.367991846418001,2.732922072884845,44678700
1990-10-01,2.2377073764801025,2.6423110055870622,2.1964208550725135,2.526710049696283,50097600
1990-11-01,2.6257965564727783,2.650567842331336,2.2211924144463877,2.2211924144463877,39564000
1990-12-01,2.700110673904419,2.766168454269549,2.576252016794559,2.634052893539289,25363800
1991-01-01,2.9786064624786377,3.0290911219263164,2.423272897541053,2.7514246283341643,26274600
1991-02-01,3.2815165519714355,3.3909000133512843,2.978607349566486,2.978607349566486,28419300
1991-03-01,3.584425926208496,3.584425926208496,3.06274890940524,3.264688194771394,40167000
1991-04-01,3.3653223514556885,3.8778084144618488,3.348239560887924,3.587399508576586,35381700
1991-05-01,3.553234815597534,3.553234815597534,3.177411893950294,3.382406001578459,27324900
1991-06-01,3.185953140258789,3.5361515619849873,3.1005388839049193,3.5361515619849873,19535400
1991-07-01,3.1221346855163574,3.2869139830575023,2.9053200083832507,3.278241419792175,32449500
1991-08-01,2.948681354522705,3.2522221391169253,2.8619554586029063,3.1221334441121504,32451300
1991-09-01,3.139479160308838,3.182841665771171,2.8966462713209644,2.948681635175615,27108900
1991-10-01,3.673295259475708,3.673295259475708,3.117002984253681,3.196473309285399,26067600
1991-11-01,3.6821234226226807,4.1501151366123885,3.5761628400726955,3.6732934246026954,36279900
1991-12-01,4.3178863525390625,4.362036349256927,3.6468036740313905,3.6644636727185365,33762600
1992-01-01,3.869936227798462,4.3626364078129996,3.780354404846264,4.317845342559451,33459300
1992-02-01,3.9326417446136475,4.013265384373115,3.753478169049226,3.887851312054709,29172600
1992-03-01,3.645981550216675,4.084932172897915,3.619106790062101,3.9326429930565405,22971600
1992-04-01,3.7595973014831543,3.877652462420132,3.4326757970063584,3.6960294736611656,23529600
1992-05-01,3.7414350509643555,3.923058365955247,3.605217954442021,3.759597600707112,21457800
1992-06-01,4.050195217132568,4.19549408753264,3.696030565069561,3.7505172907207616,35146800
1992-07-01,4.034860134124756,4.2191005785124585,3.859831980785311,4.126980198183976,31214700
1992-08-01,3.7585031986236572,4.108559462894433,3.7124426561553965,4.025651308752286,18386100
1992-09-01,3.684807062149048,3.86904701991961,3.4729305256143035,3.7585032350189795,37450800
1992-10-01,3.8421592712402344,3.944991039936089,3.7206315759339006,3.729979860188234,31448700
1992-11-01,4.244137287139893,4.281530422987792,3.767372558435585,3.842159151080468,21539700
1992-12-01,4.384362697601318,4.477846196818281,4.1506549124063445,4.253486055456886,35294400
1993-01-01,4.697534561157227,4.7164764858190775,4.3376428699122505,4.451293117261971,35502300
1993-02-01,4.669121742248535,5.152134795976622,4.34711358168871,4.697534466088622,51692400
1993-03-01,4.697534561157227,4.87748073193506,4.527059515287991,4.669121836742123,33012000
1993-04-01,4.6709723472595215,4.872390267117573,4.575059193214082,4.766885830596769,27936900
1993-05-01,4.527102470397949,4.79565901987587,4.498328295653199,4.728519717860498,23036400
1993-06-01,4.6709723472595215,4.6901552415020555,4.364049990880667,4.536693734020821,19749600
1993-07-01,4.575962066650391,4.760554970228843,4.391369163071938,4.760554970228843,20979900
1993-08-01,5.0325846672058105,5.090877600581347,4.498237225293999,4.5759605805408885,42642900
1993-09-01,5.052012920379639,5.120020864230533,4.847989755931215,5.032582174579991,28971900
1993-10-01,5.280124187469482,5.319454910673325,4.994978216519278,5.112969373400718,22461300
1993-11-01,4.975313663482666,5.378451180730572,4.965480728234764,5.289957464113365,35878500
1993-12-01,4.935980796813965,5.093302977309032,4.8474871124825665,5.024474481145363,27564300
1994-01-01,5.5031819343566895,5.612648061422366,4.995654771811381,5.015558045662918,41389200
1994-02-01,5.214591026306152,5.562893540587347,5.214591026306152,5.503184713848945,30436200
1994-03-01,4.72696590423584,5.204638502867878,4.617499395171045,5.204638502867878,29702700
1994-04-01,4.712615489959717,5.125472637827968,4.692475838634227,4.752894446895285,32038200
1994-05-01,5.548402309417725,5.62895956350199,4.591780768580503,4.712617341137996,44542800
1994-06-01,5.880702018737793,5.961259968976346,5.518193316957713,5.548402634726062,59669100
1994-07-01,5.56698751449585,6.024966749430085,5.56698751449585,5.963903130966982,53244900
1994-08-01,5.455038070678711,5.709471252623492,5.210782858926519,5.699293981251335,39917700
1994-09-01,5.017415523529053,5.505926827816236,4.834223871773945,5.455040102590774,39151800
1994-10-01,5.424630641937256,5.568738639108144,4.858493091327143,5.1158285986200545,31966200
1994-11-01,5.218764781951904,5.71284852816279,5.012896083168608,5.506980536172636,39537900
1994-12-01,5.239349842071533,5.506979116853102,5.033481903139939,5.218763436914502,40149900
1995-01-01,5.635010719299316,5.707922213393495,5.187126593296742,5.291285717316092,41349600
1995-02-01,6.312044620513916,6.332875655486616,5.624594003862664,5.63500987895107,51142500
1995-03-01,6.228717803955078,6.364123826505502,6.082894117997975,6.312044807125841,38445300
1995-04-01,6.1131815910339355,6.281531644125412,5.744917927016565,6.271009494878468,47489400
1995-05-01,6.292054653167725,6.3762289687390945,5.965877374136914,6.1237045770715826,39246300
1995-06-01,6.53405237197876,6.649792349822404,6.176310293881913,6.281528849635925,45187200
1995-07-01,6.855937957763672,6.983490539674644,6.590203837867674,6.622092165810501,35704800
1995-08-01,8.227124214172363,8.227124214172363,6.845306918024764,6.866566285689048,77618700
1995-09-01,8.854254722595215,9.013695580541919,8.184605162827335,8.216493480388696,78888600
1995-10-01,8.494370460510254,9.254900120357783,8.16230749986664,8.976396508445555,77405400
1995-11-01,9.426291465759277,9.85475909249522,8.69789605899995,8.890706564582496,60116400
1995-12-01,8.847858428955078,9.715505555015294,8.82643438933658,9.415577826519307,58594500
1996-01-01,10.235559463500977,10.300272971458371,8.908926995948256,8.908926995948256,63076500
1996-02-01,10.224772453308105,10.742481944717833,9.750205296084177,10.224772453308105,61869600
1996-03-01,9.858059883117676,10.828766055242285,9.663918648692754,10.24634235196752,41234400
1996-04-01,9.850643157958984,10.089578105415745,8.753713111850397,10.035274504881702,73350000
1996-05-01,9.980971336364746,10.08414727924332,9.014369812771749,9.774617959119265,75177000
1996-06-01,10.241623878479004,10.241623878479004,9.535678839439433,9.970106727866224,33777000
1996-07-01,9.320405960083008,10.43622948918489,9.232890742656352,10.326834716249568,43986600
1996-08-01,10.162734031677246,10.589371453934891,9.353216004783015,9.386034556937954,40142700
1996-09-01,10.490921974182129,10.709711433497375,9.93301080592268,10.009586966452675,27113400
1996-10-01,11.498652458190918,11.564736415629497,10.529417301056284,10.562458901638694,25850700
1996-11-01,12.456873893737793,12.633099301975935,11.498653057688362,11.509667429305921,27137700
1996-12-01,12.038337707519531,12.467884456450568,11.520677525114039,12.467884456450568,40073400
1997-01-01,13.438427925109863,14.047755198959576,11.88741449848806,12.120066094089728,50563800
1997-02-01,13.549212455749512,14.324718644294675,13.294404409713726,13.460583437874131,29583900
1997-03-01,12.939881324768066,14.180693279975713,12.939881324768066,13.482737315883043,46076400
1997-04-01,13.397904396057129,13.631784063841257,12.384430678901689,12.919010701018646,36340200
1997-05-01,15.48054027557373,15.569638100799779,13.676333403506856,13.676333403506856,42912900
1997-06-01,15.814651489257812,16.68334416046922,15.435991483274282,15.502812937597815,31399200
1997-07-01,17.857803344726562,17.969693141583875,15.692712649874046,15.73187415560355,38437200
1997-08-01,16.414424896240234,17.874603798053016,15.989238019679826,17.857821156908585,35343900
1997-09-01,16.671777725219727,17.790687775361192,16.47037370107156,16.47037370107156,33585300
1997-10-01,13.956777572631836,16.743638322210114,13.619656312599547,16.743638322210114,129118500
1997-11-01,15.035562515258789,15.327734606527265,13.754506560492857,14.204000067472107,39092400
1997-12-01,15.496296882629395,15.99073963806656,14.018585916144335,15.058039471170519,66760200
1998-01-01,15.315581321716309,16.0043019142704,15.18573956295409,15.626069045873134,34389900
1998-02-01,17.251901626586914,17.330936071891642,15.174449143826212,15.400258522162869,41940900
1998-03-01,18.516435623168945,18.78740680803905,17.048668061136247,17.50028980361737,48252600
1998-04-01,18.774452209472656,19.49458389945469,18.303816287668607,18.598672940640295,33661800
1998-05-01,18.644033432006836,19.528606487059207,18.42289172564551,18.916211194239963,27421200
1998-06-01,18.780118942260742,19.47757004994207,18.18473369839605,18.575987214627474,30121500
1998-07-01,18.054157257080078,20.360033671881723,17.388015181692936,19.061911695693592,29509200
1998-08-01,15.902010917663574,18.566580053848227,15.884931388793119,18.105404626431653,39785700
1998-09-01,18.07125473022461,19.16441081059471,15.628730741260393,15.936181182072072,38762100
1998-10-01,20.026142120361328,20.111944976317215,17.023079867778193,17.984058028997392,42195000
1998-11-01,21.36465072631836,22.61735610706249,19.90602100122417,19.974661401955476,32262900
1998-12-01,21.22736930847168,22.445756204899915,19.66577722539396,21.313172176212305,34315800
1999-01-01,22.701589584350586,23.82116832252321,21.220304285811515,21.771478890629506,44775900
1999-02-01,21.633684158325195,22.73603638637876,20.272964726568386,22.73603638637876,41562000
1999-03-01,23.09775161743164,23.838394354027226,20.772474608965368,21.702585412351876,49401000
1999-04-01,24.122610092163086,25.17743284721303,22.479850643358233,23.344461379512666,37870800
